id_tekmovalca,tekmovalec,leto_rojstva,drzava
5515,ALTENBURGER Florian,1993,AUT
6288,KOBAYASHI Ryoyu,1996,JPN
6085,HOFER Thomas,1996,AUT
6845,PAVLOVCIC Bor,1998,SLO
6883,VANCURA Tomas,1996,CZE
6392,NAKAMURA Naoki,1996,JPN
5945,HUBER Daniel,1993,AUT
6781,ITO Masamitsu,1998,JPN
6996,AALTO Antti,1995,FIN
6428,OJALA Juho,1995,FIN
6483,JELAR Ziga,1997,SLO
