mesto,id_tekmovalca,tocke
43,2113,108.8
44,4613,108.3
45,2928,106.5
46,4322,102.6
47,2987,102.1
48,2812,86.1
49,4602,73.4
50,4420,38.3
1,2039,279.0
2,4143,276.9
3,4141,275.5
4,2092,275.2
5,1984,273.4
6,2815,272.1
7,1991,270.7
8,3012,270.1
9,2062,266.0
10,2917,265.5
11,1996,261.6
12,1995,260.6
13,2929,258.5
14,2022,257.3
15,2030,256.7
16,4025,253.5
17,2927,251.3
18,2010,250.2
19,2016,249.8
20,2031,248.8
21,2611,246.2
22,2819,240.7
23,2934,237.3
24,5040,234.0
25,3071,232.0
26,2813,228.2
27,2033,228.0
28,4580,227.0
29,2045,222.1
30,4706,203.4
31,4646,200.7
32,2067,113.0
33,4645,112.6
34,3157,109.8
35,1970,108.5
36,2812,108.1
37,4333,108.0
38,4947,107.1
39,2947,106.7
39,1998,106.7
41,2119,106.1
42,4186,104.5
43,4561,103.5
44,4321,102.6
45,4579,102.0
46,4880,101.2
47,4420,100.3
48,4174,100.2
49,4602,97.5
50,4041,95.7
1,1984,252.2
2,2010,246.1
3,4141,242.6
4,1995,238.0
5,2062,236.3
6,2088,227.5
7,4143,220.9
8,2998,219.4
9,2092,217.9
10,2030,217.6
11,2815,215.9
12,2929,214.6
13,2039,214.2
14,2067,213.2
15,2917,211.8
16,2813,211.2
17,2113,208.6
18,2033,208.2
19,2045,207.3
19,2009,207.3
19,2022,207.3
22,2947,205.2
23,3012,204.6
24,2985,202.7
25,3071,201.9
26,2004,197.9
27,2034,196.2
28,2611,194.0
29,2041,188.3
30,2918,181.9
31,2927,99.0
32,4015,97.2
33,4186,95.5
34,2975,94.9
35,1991,94.5
36,4259,93.6
37,4580,93.5
38,2036,92.7
39,4880,91.3
40,1994,91.2
41,4321,90.9
42,4724,90.8
43,2077,90.5
44,1996,90.0
45,1901,89.8
46,1970,88.2
47,4025,87.2
48,3023,86.7
49,4613,83.6
50,4041,83.1
1,1995,270.9
2,2033,268.4
3,1984,262.6
4,2016,260.8
5,1991,258.0
6,2092,248.1
7,2009,245.3
8,2067,244.8
9,2010,244.4
10,2917,243.8
11,2813,243.6
12,2004,238.7
13,2039,238.0
13,2022,238.0
15,4141,236.7
16,4259,232.4
17,2998,231.1
18,2611,230.6
19,2045,230.5
20,2062,230.2
21,2927,229.5
22,2030,227.1
23,2815,223.2
24,1998,220.7
25,1970,219.7
26,2918,217.9
27,3012,211.8
28,2929,208.5
29,4186,208.3
30,2113,205.2
31,4724,103.5
32,2034,99.4
33,2041,96.2
34,1996,93.9
35,4420,93.1
36,4143,92.1
37,4215,91.2
